CÓDIGO DE GRUPO,NOMBRE DEL GRUPO,LÍDER DEL GRUPO,INSTITUCIONES QUE LO AVALAN,GRUPO RECONOCIDO,GRUPO INSCRITO PARA MEDICIÓN,CLASIFICACIÓN DEL GRUPO
COL0049337,"CEDIUL- INVESTIGACIÓN EN IMÁGENES DIAGNÓSTI- CAS Y BIOTECNOLOGÍA
REPRODUCTIVA",ISRAEL JULIÁN DÍAZ YUNEZ,CEDIUL S.A.,,Sí,C
COL0148139,I&D ARGOS,"JUAN GUILLERMO
MORALES RENDÓN",CEMENTOS AR- GOS,,Sí,A
COL0133118,BIOS,MARCO AURELIO CRISTANCHO AR- DILA,CENTRO DE BIOIN- FORMÁTICA Y BIO- LOGÍA COMPU- TACIONAL DE CO- LOMBIA,,No,Reconocido
COL0110739,"GRUPO DE INVESTIGACIÓN EN RADIOTERAPIA ONCO-
LÓGICA",RICARDO CENDA- LES DUARTE,CENTRO DE CON- TROL DE CÁNCER LTDA,,No,Reconocido
COL0110599,INVESTIGACION Y DESA- RROLLO EN SISTEMAS AGROPECUARIOS,TANNIA MELISSA DAVID VENEGAS,CENTRO DE DESA- RROLLO TECNO- LOGICO DEL CE- SAR,,Sí,C
COL0138562,MEDIO AMBIENTE Y CUL- TURA,MARÍA QUISPHI GONZALEZ,CENTRO DE DESA- RROLLO TECNO- LÓGICO PARA LA SOSTENIBILIDAD Y COMPETITIVIDAD REGIONAL - C- STAR,,Sí,C
COL0150226,TIC REGIÓN ORINOQUÍA - TICSO,EDNA ROCIO BER- NAL MONROY,CENTRO DE DESA- RROLLO TECNO- LÓGICO PARA LA SOSTENIBILIDAD Y COMPETITIVIDAD REGIONAL - C- STAR,,Sí,C
COL0154889,COMPETITIVIDAD & DESA- RROLLO REGIONAL,ANDRES VALEN- ZUELA GOMEZ,CENTRO DE DESA- RROLLO TECNO- LÓGICO PARA LA SOSTENIBILIDAD Y COMPETITIVIDAD REGIONAL - C- STAR,,Sí,C
COL0040037,BALISTA,JHON ALEXANDER CASTILLO URREGO,CENTRO DE EDU- CACION MILITAR; EJERCITO DE COLOMBIA-DIREC- CION DE CIENCIA Y TECNOLOGIA,,Sí,C
COL0077618,ESAVE,PEDRO FERNANDO MELO DAZA,CENTRO DE EDU- CACION MILITAR; EJERCITO DE COLOMBIA-DIREC- CION DE CIENCIA Y TECNOLOGIA,,Sí,C
COL0140589,GRUPO DE INVESTIGACIÓN (ESCAB) THOT,JUNIOR LEONARDO JAIMES MEJIA,CENTRO DE EDU- CACION MILITAR; EJERCITO DE COLOMBIA-DIREC- CION DE CIENCIA Y TECNOLOGIA,,Sí,C
COL0053759,GICMIL GRUPO DE INVES- TIGACIÓN EN COMUNICA- CIONES MILITARES,ORLANDO ALEXIS RODRIGUEZ LOPEZ,CENTRO DE EDU- CACION MILITAR; ESCUELA DE CO- MUNICACIONES MILITARES; EJER- CITO DE COLOM- BIA-DIRECCION DE CIENCIA Y TECNO- LOGIA,,Sí,C
COL0076746,CENTRO DE INVESTIGA- CIÓN EN GUERRA ASIME- TRICA,HECTOR FABIAN DOMINGUEZ ARIAS,CENTRO DE EDU- CACION MILITAR; ESCUELA DE INTE- LIGENCIA Y CON- TRAINTELIGENCIA BG. RICARDO CHARRY SOLANO; EJERCITO DE COLOMBIA-DIREC- CION DE CIENCIA Y TECNOLOGIA,,Sí,B
COL0154439,CENTRO DE ESTUDIOS EN INFECTOLOGÍA PEDIÁ- TRICA,PÍO LÓPEZ LÓPEZ,CENTRO DE ESTU- DIOS EN INFECTO- LOGÍA PEDIA- TRICA; UNIVERSI- DAD DEL VALLE - UNIVALLE; HOSPI- TAL UNIVERSITA- RIO DEL VALLE EVARISTO GARCÍA E.S.E,,Sí,C
COL0125813,CENTRO DE INVESTIGA- CION CIENTIFICA CAUCA- SECO,NORA LIBIA CÉSPE- DES MARTÍNEZ,CENTRO DE IN- VESTIGACION CIENTIFICA CAU- CASECO; CENTRO INTERNACIONAL DE VACUNAS; FUNDACIÓN CEN- TRO DE PRIMATES,,Sí,C
COL0068789,GRUPO DE INVESTIGACIÓN EN PROCESOS AZUCARE- ROS,NICOLÁS JAVIER GIL ZAPATA,CENTRO DE INVESTIGACIÓN DE LA CAÑA DE AZÚCAR DE COLOMBIA - CENICAÑA,,Sí,A
COL0013549,MACROPROYECTO ALTA SACAROSA ESTABLE,JORGE IGNACIO VICTORIA KAFURE,CENTRO DE IN- VESTIGACIÓN DE LA CAÑA DE AZÚ- CAR DE COLOM- BIA - CENICAÑA,,Sí,B
COL0068539,"""AGRICULTURA ESPECI- FICA POR SITIO""",FERNANDO MUÑOZ ARBOLEDA,CENTRO DE IN- VESTIGACIÓN DE LA CAÑA DE AZÚ- CAR DE COLOM- BIA - CENICAÑA,,Sí,C
COL0108741,GRUPOTI - TELEMÁTICA E INTERNET,GARY COOPER MARTINEZ,CENTRO DE IN- VESTIGACIÓN DE LAS TELECOMUNI- CACIONES - CIN- TEL,,Sí,B
COL0135408,DINÁMICA DE SISTEMAS GEOAGROAMBIENTALES,ALAN ERNESTO GA- RRIDO ROMERO,CENTRO DE IN- VESTIGACIÓN EN CIENCIAS Y RE- CURSOS GEO- AGROAMBIENTA- LES,,Sí,Reconocido
COL0119431,CIMAD,DIEGO FERNANDO AMOROCHO LLA- NOS,CENTRO DE IN- VESTIGACIÓN PARA EL MANEJO AMBIENTAL Y EL DESARROLLO,,No,Reconocido
COL0138025,CENTRO DE INVESTIGA- CIÓN Y ATENCIÓN EN SA- LUD DEL MAGDALENA ME- DIO,MARTHA JUDITH ARISMENDI SO- LANO,CENTRO DE IN- VESTIGACIÓN Y ATENCIÓN EN SA- LUD DEL MAGDA- LENA MEDIO; SEËN TECHNO- LOGY SAS; COR- PORACIÓN OIKOS,,Sí,C
COL0051999,GRUPO DE ANÁLISIS BIOIN- FORMÁTICO - GABI,ALFONSO BENITEZ PAEZ,CENTRO DE IN- VESTIGACION Y DESARROLLO EN BIOTECNOLOGIA,,Sí,C
COL0104822,GRUPO DE INVESTIGACIÓN EN TECNOLOGÍAS DE LA INFORMACIÓN,MANUEL BÁRBARO CUADRA SANZ,CENTRO DE IN- VESTIGACIÓN Y DESARROLLO TECNOLÓGICO DE LA INDUSTRIA ELECTRO ELEC- TRÓNICA Y TIC,,Sí,B
COL0013906,MOVIMIENTOS SOCIALES,MAURICIO ARCHILA NEIRA,CENTRO DE IN- VESTIGACIÓN Y EDUCACIÓN PO- PULAR,,Sí,C
COL0016971,"VIOLENCIA, PAZ Y FORMA- CIÓN DEL ESTADO EN COLOMBIA",FERNÁN ENRIQUE GONZÁLEZ GONZÁ- LEZ,CENTRO DE IN- VESTIGACIÓN Y EDUCACIÓN PO- PULAR,,Sí,Reconocido
COL0156711,GRUPO NACIONAL DE IN- VESTIGACIÓN DE  CEREA- LES Y LEGUMINOSAS DE CENICEL,JOSÉ EVER VAR- GAS SÁNCHEZ,CENTRO DE IN- VESTIGACIÓN Y TRANSFERENCIA DE TECNOLOGÍA DE LA CADENA AGROALIMENTA- RIA DE LOS CE- REALES Y LAS LE- GUMINOSAS,,No,Reconocido
COL0123372,GRUPO DE INVESTIGACIO- NES EN BIOMODELOS,CRISTINA IRENE VARGAS IRWIN,CENTRO DE IN- VESTIGACIONES EN BIOMODELOS,,Sí,C
COL0053803,MATHEMA-FORMACIÓN E INVESTIGACIÓN EN EDU- CACIÓN MATEMÁTICA,JHONY ALEXANDER VILLA OCHOA,CENTRO DE INVESTIGACIONES EDUCATIVAS Y PEDAGÓGICAS DE LA ASOCIACIÓN SINDICAL DE MAESTROS DEL MUNICIPIO DE MEDELLÍN; UNIVERSIDAD DE ANTIOQUIA - UDEA,,Sí,A
COL0016087,SANIDAD DEL CAMARÓN,MARCELA SALAZAR VALLEJO,CENTRO DE IN- VESTIGACIONES EN ACUICULTURA - CENIACUA,,No,Reconocido
COL0184429,CIMCE GRUP,JOSE YESID RODRI- GUEZ QUINTERO,CENTRO DE IN- VESTIGACIONES MICROBIOLÓGI- CAS DEL CESAR,,Sí,Reconocido
COL0013826,OCEANOGRAFIA OPERA- CIONAL,CLAUDIA JANETH DAGUA PAZ,CENTRO DE IN- VESTIGACIONES OCEANOGRÁFI- CAS E HIDROGRÁ- FICAS - CIOH,,Sí,B
COL0139505,GRUPO DE INVESTIGACIÓN EN CIENCIAS DE LA SALUD Y NEUROCIENCIAS (CIS- NEURO),GABRIEL ALBERTO ALCALÁ CERRA,CENTRO DE MEDI- CINA ESTETICA E INVESTIGACION FORMAX8 S.A.S; ASTERIOS S.A.S.,,No,Reconocido
COL0105481,"GESTIÓN TECNOLÓGICA, INNOVACIÓN Y CIENCIA - GTIC",MANUEL GUI- LLERMO PABÓN MACHUCA,CENTRO DE PRO- DUCTIVIDAD Y COMPETITIVIDAD DEL ORIENTE,,Sí,B
COL0056485,CERAC - CENTRO DE RE- CURSOS PARA EL ANÁLI- SIS DE CONFLICTOS,JORGE ALBERTO RESTREPO TORRES,CENTRO DE RE- CURSOS PARA EL ANÁLISIS DE CON- FLICTO - CERAC,,No,Reconocido
COL0048269,DERMATOLOGIA TROPICAL,CLEMENCIA ELENA OVALLE BRACHO,CENTRO DERMA- TOLÓGICO FEDE- RICO LLERAS ACOSTA,,Sí,A
COL0048483,DERMATOLOGIA GENERAL,MARTHA CECILIA VALBUENA MESA,CENTRO DERMA- TOLÓGICO FEDE- RICO LLERAS ACOSTA,,Sí,B
COL0147276,TECNOVA,ESMERLIS CA- MARGO TORRES,CENTRO INDUS- TRIAL Y DE ENER- GÍAS ALTERNATI- VAS - SENA RE- GIONAL GUAJIRA; SERVICIO NACIONAL DE APRENDI- ZAJE SENA,,Sí,C
COL0125288,ADAPTACIÓN Y MITIGA- CIÓN AL CAMBIO CLIMÁ- TICO,ANDREW JARVIS,CENTRO INTERNACIONAL DE AGRI- CULTURA TROPI- CAL - CIAT,,Sí,A1
COL0137859,"ANÁLISIS DE MODELOS COMO HERRAMIENTAS PARA LA TOMA DE DECI-
SIONES EN AGRICULTURA",JULIAN ARMANDO RAMIREZ VILLEGAS,CENTRO INTERNACIONAL DE AGRI- CULTURA TROPI- CAL - CIAT,,Sí,A1
COL0085807,MANEJO INTEGRADO EN- FERMEDADES,ELIZABETH ALVA- REZ CABRERA,CENTRO INTERNACIONAL DE AGRI- CULTURA TROPI- CAL - CIAT,,Sí,C
COL0037739,AGRICULTURA DE CON- SERVACIÓN PARA SUELOS DE TRÓPICO BAJO,JAIME HUMBERTO BERNAL RIOBO,CENTRO INTERNACIONAL DE AGRI- CULTURA TROPI- CAL - CIAT,,Sí,Reconocido
COL0064496,"GRUPO DE INVESTIGACIÓN EN SISTEMAS MODERNOS DE PRODUCCIÓN Y MA- NEJO POSCOSECHA DE LOS CULTIVOS DE YUCA Y
BATATA",BERNARDO OSPINA PATIÑO,CENTRO INTERNACIONAL DE AGRI- CULTURA TROPI- CAL - CIAT; COR- PORACIÓN CLA- YUCA,,Sí,C
COL0001413,CIDEIM,NANCY GORE SA- RAVIA,CENTRO INTERNACIONAL DE ENTRENAMIENTO E INVESTIGACIONES MÉDICAS - CIDEIM,,Sí,A1
COL0019786,FÍSICA APLICADA Y DESA- RROLLO TECNOLÓGICO,JOSÉ ENRIQUE GARCÍA GONZÁLEZ,CENTRO INTERNACIONAL DE FÍSICA - CIF,,No,Reconocido
COL0060951,CENTRO INTERNACIONAL DE VACUNAS,MYRIAM ARÉVALO RAMÍREZ,CENTRO INTERNACIONAL DE VACUNAS; FUNDACIÓN CENTRO DE PRIMATES,,Sí,A1
COL0080613,CLEMI (CENTRO LATINOA- MERICANO DE INVESTIGA- CIÓN Y ENTRENAMIENTO EN CIRUGÍA DE MÍNIMA IN- VASIÓN),FRANCISCO JOSE CAMACHO GARCIA,CENTRO LATINOA- MERICANO INV Y ENTRENAMIENTO CIRUGÍA DE MÍ- NIMA INVASIÓN; SOCIEDAD COLOMBIANA DE CI- RUGÍA ORTOPÉ- DICA Y TRAUMA- TOLOGÍA,,Sí,C
COL0037729,GRUPO DE INVESTIGACIÓN CMI,"ALEXANDER MAXI- MILIANO MARTÍNEZ
BLANCO",CENTRO MEDICO IMBANACO DE CALI S.A.,,Sí,C
COL0128673,"GESTIÓN DEL CONOCI- MIENTO Y LA CONVERSA-
CIÓN",PABLO DAVID LE- MOINE ARBOLEDA,CENTRO NACIONAL DE CONSUL- TORÍA,,No,Reconocido
COL0004916,FISIOLOGÍA VEGETAL,CLAUDIA PATRICIA FLÓREZ RAMOS,CENTRO NACIONAL DE INVESTI- GACIONES DE CAFÉ,,Sí,A
COL0006634,GRUPO POSTCOSECHA 1996 -,CARLOS EUGENIO OLIVEROS TASCÓN,CENTRO NACIONAL DE INVESTI- GACIONES DE CAFÉ,,Sí,B
COL0005154,FITOPATOLOGÍA,CARLOS ARIEL AN- GEL CALLE,CENTRO NACIONAL DE INVESTI- GACIONES DE CAFÉ,,Sí,C
COL0000336,AGRONOMÍA,JUAN CARLOS GAR- CÍA LÓPEZ,CENTRO NACIONAL DE INVESTI- GACIONES DE CAFÉ,,No,Reconocido
COL0013586,MANEJO INTEGRADO DE PLAGAS- DISCIPLINA DE ENTOMOLOGÍA,PABLO BENAVIDES MACHADO,CENTRO NACIONAL DE INVESTIGACIONES DE CAFÉ,,Sí,A1
COL0013684,MEJORAMIENTO GÉNETICO,JOSÉ RICARDO ACUÑA ZORNOSA,CENTRO NACIONAL DE INVESTIGACIONES DE CAFÉ,,Sí,A1
COL0114041,METABOLÓMICA DEL CAFÉ,HUVER ELÍAS PO- SADA SUÁREZ,CENTRO NACIONAL DE INVESTIGACIONES DE CAFÉ,,No,Reconocido
COL0013844,MODELOS REGIONALES DE COMPETITIVIDAD,ADOLFO PLAZAS TENORIO,CENTRO REGIO- NAL DE PRODUC- TIVIDAD E INNO- VACIÓN DEL CAUCA-CREPIC; UNIVERSIDAD DEL CAUCA - UNI- CAUCA,,Sí,B
COL0072827,"CIMAS (CALIDAD, INNOVA- CIÓN, MEDIO AMBIENTE Y SALUD)",TERESA SANTOFI- MIO VARÓN,CENTRO REGIO- NAL DE PRODUC- TIVIDAD Y DESA- RROLLO TECNO- LÓGICO DEL TO- LIMA - C.R.P.T.; CULTIVOS Y SEMI- LLAS EL ACEI- TUNO LTDA,,Sí,B
COL0094332,"CENTRO DE INVESTIGA- CIÓN EN COMPORTA-
MIENTO ORGANIZACIONAL",FERNANDO TORO ALVAREZ,CINCEL,,Sí,C
COL0159105,"EPIDEMIOLOGÍA CLÍNICA APLICADA, SISTEMAS DE INFORMACIÓN Y TECNO-
LOGÍAS EN SALUD",FREDY ORLANDO MENDIVELSO DUARTE,CLINICA COLSANITAS S.A.; FUNDACION UNIVERSITARIA SANITAS,,Sí,C
COL0171449,SALUD DE LA MUJER SANI- TAS,JOAQUIN LUNA RIOS,CLINICA COLSANITAS S.A.; FUNDACION UNIVERSITARIA SANITAS,,Sí,C
COL0159239,ANABOLEAS,LEONARDO ELÍAS ORDÓÑEZ ORDÓ- ÑEZ,CLINICA COLSANITAS S.A.; FUNDACION UNIVERSITARIA SANITAS,,Sí,Reconocido
COL0165087,INNOVACION Y RETOS EN CIRUGIA,ARNOLD JOSE BA- RRIOS PARRA,CLINICA COLSANITAS S.A.; FUNDACION UNIVERSITARIA SANITAS,,Sí,Reconocido
COL0176249,VISIÓN COLOMBIA,LUIS DANIEL HOL- GUIN ROMERO,CLINICA COLSANITAS S.A.; FUNDACION UNIVERSITARIA SANITAS,,Sí,Reconocido
COL0151429,"GRUPO DE INVESTIGACION EN ENFERMEDADES IN- FECCIOSAS CLINICA DE LA
MUJER",CARLOS HER- NANDO GOMEZ QUINTERO,CLÍNICA DE LA MUJER,,Sí,Reconocido
COL0140506,GICOC,"OMAR FERNANDO
SALAMANCA LIBRE- ROS",CLÍNICA DE OFTALMOLOGÍA DE CALI S.A.,,Sí,B
COL0084926,"VISION SANA: GRUPO DE INVESTIGACION EN OFTAL-
MOLOGIA",MARIA XIMENA NU- NEZ GIRON,CLÍNICA DE OFTALMOLOGÍA DE CALI S.A.,,Sí,C
COL0182284,OFALMO-CIENCIA,CLAUDIA ACOSTA CADAVID,CLÍNICA OFTAL- MOLÓGICA DE AN- TIOQUIA; INSTI- TUTO NACIONAL DE INVESTIGA- CIÓN EN OFTAMO- LÓGIA LTDA.,,Sí,C
COL0065312,"GRUPO DE INVESTIGACIÓN INSTITUTO COLOMBIANO DE INVESTIGACIÓN EN VI- SIÓN Y OFTALMOLOGÍA
(CIRVO)",LUIS JOSÉ ESCAF JARABA,CLÍNICA OFTAL- MOLÓGICA DEL CARIBE; FUNDA- CIÓN OFTALMOLÓ- GICA DEL CARIBE,,Sí,A1
COL0146528,NEUMOLOGIA OCUPACIO- NAL Y AMBIENTAL,CARLOS ORDUZ GARCIA,CLÍNICA PULMO- NAR Y DEL SUEÑO S.A.S.,,Sí,C
COL0169399,TRAUMA Y REHABILITA- CIÓN,JUAN GUILLERMO ORTIZ MARTINEZ,CLINICA UNIVERSI- DAD DE LA SA- BANA; UNIVERSI- DAD DE LA SA- BANA - UNISA- BANA,,Sí,B
COL0066427,ENTRE OTROS,BIBIANA ESCOBAR GARCIA,COLEGIATURA COLOMBIANA INSTI- TUCIÓN UNIVERSI- TARIA,,Sí,C
COL0044976,GRUPO DE ESTUDIOS EN ADMINISTRACIÓN,MARÍA ANDREA TRUJILLO DÁVILA,COLEGIO DE ES- TUDIOS SUPERIO- RES DE ADMINIS- TRACION - CESA,,Sí,B
COL0060389,VIRTUALES,DANIEL RUIZ NAVAS,COLEGIO MAYOR DE BOLIVAR,,Sí,B
COL0060862,"GIFFI- GRUPO DE INVESTI- GACIÓN PARA EL FORTA- LECIMIENTO Y FOMENTO DE LA INDUSTRIA TURÍS-
TICA",FRANCISCO JOSÉ ARIAS ARAGONÉS,COLEGIO MAYOR DE BOLIVAR,,Sí,B
COL0061331,"GRUPO DE INVESTIGACIÓN
SUJETO Y DESARROLLO COMUNITARIO ""SUDECO""",LEIDY LUZ HADE- CHINI MEZA,COLEGIO MAYOR DE BOLIVAR,,Sí,B
COL0004854,GRUPO DE INVESTIGACIÓN EN DIRECCIÓN Y GEREN- CIA,MERLIN PATRICIA GRUESO HINES- TROZA,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,,Sí,A1
COL0006741,"GENÉTICA EVOLUTIVA, FI- LOGEOGRAFÍA Y ECOLO- GÍA DE BIODIVERSIDAD
NEOTROPICAL",MAURICIO LINARES PORTO,COLEGIO MAYOR DE NUESTRA SE- ÑORA DEL ROSA- RIO,,Sí,A1
COL0008773,GRUPO DE INVESTIGACION EN SALUD PUBLICA,LEONARDO BRI- CEÑO AYALA,COLEGIO MAYOR DE NUESTRA SE- ÑORA DEL ROSA- RIO,,Sí,A1
COL0009654,GRUPO DE INVESTIGACIÓN EN DERECHO PÚBLICO,GLORIA AMPARO RODRÍGUEZ,COLEGIO MAYOR DE NUESTRA SE- ÑORA DEL ROSA- RIO,,Sí,A1
COL0011278,"GRUPO DE INVESTIGACIO- NES. FACULTAD DE ECO- NOMÍA. UNIVERSIDAD DEL
ROSARIO",FERNANDO JARAMI- LLO MEJÍA,COLEGIO MAYOR DE NUESTRA SE- ÑORA DEL ROSA- RIO,,Sí,A1
COL0025282,GRUPO DE ESTUDIOS PO- LÍTICOS E INTERNACIONA- LES,MONICA PACHON BUITRAGO,COLEGIO MAYOR DE NUESTRA SE- ÑORA DEL ROSA- RIO,,Sí,A1
COL0054569,GRUPO DE INVESTIGACIÓN EN DERECHOS HUMANOS,MARÍA TERESA PA- LACIOS SANABRIA,COLEGIO MAYOR DE NUESTRA SE- ÑORA DEL ROSA- RIO,,Sí,A1
COL0067469,GRUPO DE INVESTIGACIO- NES MICROBIOLÓGICAS - UR (GIMUR),JUAN DAVID RAMÍ- REZ GONZÁLEZ,COLEGIO MAYOR DE NUESTRA SE- ÑORA DEL ROSA- RIO,,Sí,A1
COL0092392,CENTRO DE ESTUDIO DE ENFERMEDADES AUTOIN- MUNES - CREA,JUAN-MANUEL ANAYA CABRERA,COLEGIO MAYOR DE NUESTRA SE- ÑORA DEL ROSA- RIO,,Sí,A1
